listing_id,raw_title,raw_date,raw_venue,source,wrong_day_noise
L000053,  Charlotte  Hornets at Chicago Bulls ,2/25/2026,UC,scraped_feed_b,False
L000054,Chicago Bulls vs Charlotte Hornets,2/25/2026,,scraped_feed_c,False
L000055,charlotte hornets v. chicago bulls,"February 25, 2026",UCC,scraped_feed_b,False
L000056,Minnesota Timberwolves vs Golden State Warriors,1/25/26,,partner_feed_a,False
L000057,Golde State Warriors @ Minnesota Tmberwolves,2026-01-25,TCM,scraped_feed_c,False
L000058,Golden State Warriors vs Minnesota Timberwolves,1/25/2026,Target Center,scraped_feed_b,False
L000059,  MIN  VS GSW ,January 25,,scraped_feed_c,False
L000060,Los Angeles Lakers at Portland Trail Blazers,November 4,Moda Center,official_feed,False
L000061,Los Angeles Lakers at Portland Trail Blazers,11/4/2025,Moda Center,official_feed,False
L000062,LAL vs POR,2025-11-04,Moda Center,partner_feed_a,False
L000063,  LOS  ANGELES LAKERS AT PORTLAND TRAIL BLAZERS ,November 6,Moda Center,scraped_feed_c,True
L000064,SAS vs MIN,5/7/26,Frost Bank Center,partner_feed_a,False
L000065,MIN at SAS,5/7/26,Frost Bank Center,partner_feed_a,False
L000066,  Minnesota  Tinberwolves vs San Antonio Spurs ,5/7/2026,Frost Bank Center,scraped_feed_b,False
L000067,minnesota timberwolves vs san antonio spurs,2026-05-07,,scraped_feed_c,False
L000068,las vegas raiders v. new york giants,2025-12-28,Allegiant Stadium,scraped_feed_b,False
L000069,New York Giants vs Las Vegas Raiders,12/28/25,AS,scraped_feed_b,False
L000070,Las Vegas Raiders vs New York Giants,December 28,,scraped_feed_c,False
L000071,lv v. nyg,12/28/2025,Allegiant Stadium Las Vegas,scraped_feed_c,False
L000072,oklahoma ciyt thunder vs san antonio spurs,2026-05-21,Paycom Center,scraped_feed_b,False
L000073,san antonio spurs vs oklahoma city thunder,May 21,,scraped_feed_c,False
L000074,San Antonio Spurs at Oklahoma City Thunder,5/21/26,Paycom Center,official_feed,False
L000075,  Oklahoma  City Thunder vs San Antonio Spurs ,2026-05-21,,scraped_feed_b,False
L000076,Tampa Bay Buccaneers vs Houston Texans,2025-09-15,Reliant Stadium,official_feed,False
L000077,tb vs hou,"September 15, 2025",Reliant Stadium,partner_feed_a,False
L000078,HOU vs TB,2025-09-15,Reliant Stadium,partner_feed_a,False
L000079,Tampa Bay Buccaneers vs Houston Texans,9/15/2025,Reliant Stadium,official_feed,False
L000080,DAL at CHI,2025-09-21,,scraped_feed_c,False
L000081,AL VSCHI,September 21,Soldier Field,scraped_feed_b,False
L000082,Dallas Cowboys vs Chicago Bears,September 21,Soldier Field,official_feed,False
L000083,Chicago Bears vs Dallas Cowboys,September 21,Soldier Field,official_feed,False
L000084,Oklahoma City Thunder at Toronto Raptors,2/25/2026,Scotiabank Arena,official_feed,False
L000085,  TOR  v. OKC ,2/25/26,Scotiabank Arena Toronto,scraped_feed_b,False
L000086,  Oklahoma  City Thynder vs Toronto Raptors ,2/25/2026,Scotiabank Arena,scraped_feed_c,False
L000087,oklahoma city thunder vs toronto raptors,2/25/2026,Scotiabank Arena Toronto,scraped_feed_b,False
L000088,LsL at KBN,February 4,Barclays Center Brooklyn,scraped_feed_b,False
L000089,LAL vs NBK,February 4,Barclays Center,scraped_feed_c,False
L000090,Los Angeles Lakers vs Brooklyn Nets,2/4/2026,Barclays Center,partner_feed_a,False
L000091,Los Angeles Lakers vs Brooklyn Nets,2026-02-04,Barclays Center Brooklyn,partner_feed_a,False
L000092,Oklahoma City Thunder vs Memphis Grizzlies,12/23/25,Paycom Center,partner_feed_a,False
L000093,Memphis Grizzlies vs Oklahoma City Thunder,12/23/25,Paycom Center,official_feed,False
L000094,mem vs okc,2025-12-23,Paycom Center,scraped_feed_b,False
L000095,memphis grizzlies @ oklahoms city thunder,,Paycom Center,scraped_feed_c,False
L000096,  Miami  Heat v. Detroit Pistons ,November 30,FTX Arena,scraped_feed_c,False
L000097,  Detroit  Pistons vs Miami Heat ,2025-11-30,FTX Arena,scraped_feed_c,False
L000098,detroit pistons vs miami heat,11/30/25,Kaseya Center,partner_feed_a,False
L000099,  Dr  Tat MIA ,November 30,KC,scraped_feed_c,False
L000100,PHX vs LA Clippers,"October 25, 2025",Intuit Dome,scraped_feed_c,False
L000101,Phoenix Suns at LA Clippers,10/25/2025,Intuit Dome,official_feed,False
L000102,LA Clippers vs PHX,"October 25, 2025",Intuit Dome Los Angeles,partner_feed_a,False
L000103,Phoenix Suns vs LA Clippers,2025-10-25,Intuit Dome,official_feed,False
L000104,Atlanta Hawks vs Brooklyn Nets,2025-10-29,Barclays Center Brooklyn,partner_feed_a,False
L000105,ATL vs BKN,"October 29, 2025",Barclays Center Brooklyn,scraped_feed_b,False
L000106,Atlanta Hawks vs Brooklyn Nets,10/29/2025,Barclays Center,official_feed,False
L000107,BKN vs ATL,10/29/25,Barclays Center,partner_feed_a,False
L000108,Toronto Raptors vs Minnesota Timberwolves,"February 5, 2026",Scotiabank Arena,official_feed,False
L000109,Toronto Raptors vs Minnesota Timberwolves,2/5/2026,Scotiabank Arena,official_feed,False
L000110,TOR vs MIm,2/5/26,Scotiabank Arena,scraped_feed_c,False
L000111,Minnesota Timberwolves vs Toronto Raptors,2/5/2026,Scotiabank Arena Toronto,partner_feed_a,False
L000112,&nbsp; BOSTON  CELTICS VS ORLANDO MAGIC ,"November 23, 2025",TD Garden,scraped_feed_b,False
L000113,  Orlando  Magic t Boston Celtics ,2025-11-23,TD Garden,scraped_feed_b,False
L000114,ORLvs BSO,11/21/25,TD Garden Boston,scraped_feed_b,True
L000115,Orlando Magic vs Boston Celtics,11/23/25,TD Garden,official_feed,False
L000116,San Francisco 49ers at New Orleans Saints,9/14/25,Caesars Superdome,official_feed,False
L000117,sf at no,9/14/2025,Caesars Superdome,partner_feed_a,False
L000118,  SF  v. NO ,9/14/2025,Caesars Superdome,scraped_feed_c,False
L000119,San Francisco 49ers vs New Orleans Saints,2025-09-14,Caesars Superdome,official_feed,False
L000120,PHX vs SAC,,Golden 1 Center,scraped_feed_b,False
L000121,PHX v. dAC,"November 27, 2025",Golden 1 Center,scraped_feed_c,False
L000122,PHXvsSAC,11/27/2025,Golden 1 Center,scraped_feed_c,False
L000123,sac v. phx,November 27,,scraped_feed_c,False
L000124,cha vs sac,2026-03-24,Spectrum Center,partner_feed_a,False
L000125,SAC at CHA,3/24/26,Spectrum Center,scraped_feed_b,False
L000126,Sacramento Kings at Carlotte Hornets,2026-03-24,Time Warner Cable Arena,scraped_feed_b,False
L000127,Sacramento Kings at Charlotte Hornets,3/24/2026,SCC,scraped_feed_b,False
L000128,atl vs hou,"October 16, 2025",,partner_feed_a,False
L000129,Atlanta Hawks vs Houston Rockets,10/16/25,State Farm Arena,official_feed,False
L000130,Houston Rockets vs Atlanta Hawks,"October 16, 2025",State Farm Arena,official_feed,False
L000131,HOU vs ATL,,State Farm Arena,partner_feed_a,False
L000132,POR at MIN,February 12,Target Center Minneapolis,scraped_feed_b,False
L000133,POR @ IN,2026-02-12,Target Center,scraped_feed_b,False
L000134,POR at MIN,February 12,Target Center,scraped_feed_c,False
L000135,  POR  at MNI ,February 12,Target Center,scraped_feed_c,False
L000136,San&nbsp;Antonio Spurs @ New York Knicks,2026-06-09,,scraped_feed_c,False
L000137,  SAS  at NYK ,6/9/26,MSGA,scraped_feed_b,False
L000138,san antonio spurs @ newyork knicks,2026-06-09,Madison Square Garden,scraped_feed_b,False
L000139,San Antonio Spurs vs New York Knicks,June 9,Madison Square Garden,official_feed,False
L000140,Portland Traik Blazers at Sacramento Kings,12/21/25,Golden 1 Center,scraped_feed_b,False
L000141,PORTLAND TRAIL BLAZERS AT SACRAMENTO KINGS,December 21,,partner_feed_a,False
L000142,Sacramento Kings vs Portland Trail Blazers,"December 21, 2025",Golden 1 Center,official_feed,False
L000143,PortlandTrail Blazersa t Sacramento Kings,12/21/25,Golden 1 Center,scraped_feed_b,False
L000144,Chicago Bulls vs Charlotte Hornets,1/4/26,United Center,partner_feed_a,False
L000145,CAH vs CHu,"January 4, 2026",,scraped_feed_c,False
L000146,Chicago Bulls vs Charlotte Hornets,1/4/2026,United Center,official_feed,False
L000147,chi vs cha,"January 4, 2026",United Center,partner_feed_a,False
L000148,min v. lal,2025-10-30,Target Center,scraped_feed_b,False
L000149,Los Angeles Lakers vs Minnesota Timberwolves,10/30/25,Target Center,official_feed,False
L000150,Los Angeles Lakers at Minnesota Timberwolves,2025-10-30,Target Center,official_feed,False
L000151,Minnesota Timberwolves vs Los Angeles Lakers,10/30/2025,Target Center,official_feed,False
L000152,milwaukee bucks vs houston rockets,11/9/2025,Fiserv Forum,partner_feed_a,False
L000153,HOU v. MIL,"November 9, 2025",Fiserv Forum,scraped_feed_b,False
L000154,HOU&nbsp;at MIL,November 9,Bradley Center,scraped_feed_b,False
L000155,Houston Rockets vs Milwaukee Bucks,11/9/2025,Fiserv Forum,official_feed,False
L000156,ASC sv DET,2025-12-24,Golden 1 Center Sacramento,scraped_feed_b,False
L000157,SACRAMENTO KINGS VS DETROIT PISTONS,"December 24, 2025",Golden 1 Center,scraped_feed_b,False
L000158,Sacramento Kings vs Detroit Pistons,2025-12-24,Golden 1 Center,scraped_feed_c,False
L000159,det v. sac,,,scraped_feed_b,True
L000160,LA Clippers at Houston Rockets,February 12,Toyota Center (Houston),official_feed,False
L000161,LA Clippers @ HOU,February 12,Toyota Center (Houston),scraped_feed_c,False
L000162,HOU vs LA Clippers,February 12,Toyota Center (Houston),partner_feed_a,False
L000163,HOU VS LA CLIPPERS,"February 12, 2026",Toyota Center (Houston),scraped_feed_b,False
L000164,Los Angeles Lakers vs Denver Nuggets,2026-03-15,crypto.com Arena,official_feed,False
L000165,DEN at LAL,2026-03-15,crypto.com Arena,partner_feed_a,False
L000166,Los Angeles Lakers vs Denver Nuggets,March 15,crypto.com Arena,partner_feed_a,False
L000167,Denver Nuggets at Los Angeles Lakers,March 15,crypto.com Arena,official_feed,False
L000168,Cleveland Cavaliers at Atlanta Hawks,11/29/2025,State Farm Arena,official_feed,False
L000169,cleveland cavaliers vs atlanta hawks,2025-11-29,Philips Arena,partner_feed_a,False
L000170,  ATL  v. CLE ,2025-11-29,State Farm Arena,scraped_feed_b,False
L000171,Atlanta Hawks vs Cleveland Cavaliers,11/29/2025,State Farm Arena,official_feed,False
L000172,no at mia,,Hard Rock Stadium,scraped_feed_b,False
L000173,MIA vs NO,11/30/2025,Sun Life Stadium,partner_feed_a,False
L000174,no at mia,November 30,Hard Rock Stadium,partner_feed_a,False
L000175,MIA vs NO,November 30,Hard Rock Stadium,partner_feed_a,False
L000176,Toronto Raptors vs Sacramento Kings,10/9/25,Golden 1 Center Sacramento,partner_feed_a,False
L000177,TOR vs SAC,"October 9, 2025",Golden 1 Center,partner_feed_a,False
L000178,Scaramento Kings vs Toronto Raptors,October 9,Golden 1 Center Sacramento,scraped_feed_b,False
L000179,SACRAMENTO KINGS VS TORONTO RAPTORS,2025-10-09,Golden 1 Center,scraped_feed_b,False
L000180,Indiana Pacers at San Antonio Spurs,3/22/26,Frost Bank Center,partner_feed_a,False
L000181,Indiana Pacers vs San Antonio Spurs,"March 22, 2026",Frost Bank Center,official_feed,False
L000182,  Indiana  Pacers vs San Antonio Spurs ,2026-03-22,Frost Bank Center,scraped_feed_c,False
L000183,  INDvs  SAS ,,Frost Bank Center,scraped_feed_c,False
L000184,Utah Jazz vs LA Clippers,January 2,Intuit Dome,official_feed,False
L000185,UTA at LA Clippers,1/2/2026,Intuit Dome,partner_feed_a,False
L000186,LA Clippers vs UTA,2026-01-02,,scraped_feed_c,False
L000187,UTAH JAZZ AT LA CLIPPERS,1/2/26,Intuit Dome,partner_feed_a,False
L000188,BROOKLYN NETS VS DENVER NUGGETS,"January 4, 2026",Barclays Center Brooklyn,partner_feed_a,False
L000189,BROOKLYN NETS VS DENVER NUGGETS,"January 4, 2026",,partner_feed_a,False
L000190,Brooklyn Nets vs Denver Nuggets,,Barclays Center,partner_feed_a,False
L000191,BKN VS DEN,1/4/2026,Barclays Center,partner_feed_a,False
L000192,Dallas Maveicks at Milwaukee Bucks,1/27/26,,scraped_feed_b,True
L000193,milwaukee bucks vs dallas mavericks,January 26,Fiserv Forum Milwaukee,partner_feed_a,False
L000194,Dallas Mavericks at Milwaukee Bucks,January 26,Fiserv Forum,official_feed,False
L000195,  Dallas  Mvaericks at Milwaukee Bcuks ,January 26,,scraped_feed_b,False
L000196,AWS AT NYK,October 13,Madison Square Garden,scraped_feed_c,False
L000197,New York Knicks vs Washington Wizards,10/13/2025,Madison Square Garden,official_feed,False
L000198,WAS VS NYK,October 13,Madison Square Garden,scraped_feed_b,False
L000199,Washington Wizardd vs bew York Knicks,October 13,Madison Square Garden,scraped_feed_b,False
L000200,Boston Celtics at Indiana Pacers,"December 27, 2025",Gainbridge Fieldhouse,official_feed,False
L000201,BOS at IND,12/27/2025,Gainbridge Fieldhouse,partner_feed_a,False
L000202,Indiana Pacers vs Boston Celtics,2025-12-27,Gainbridge Fieldhouse,official_feed,False
L000203,Boston Celtics at Indiana Pacers,December 27,Gainbridge Fieldhouse,official_feed,False
L000204,Boston Celtics @ Cleveland Cavaliers,March 8,RA,scraped_feed_b,False
L000205,Boston Celtics at Cleveland Cavaliers,2026-03-08,Rocket Arena,official_feed,False
L000206,Boston Celtics at Cleveland Cavaliers,"March 8, 2026",Rocket Arena,official_feed,False
L000207,Boston Celtics vs Cleveland Cavaliers,3/8/26,Rocket Arena,official_feed,False
L000208,Utah Jazzvs San Antonio Spurs,1/19/26,AC,scraped_feed_b,False
L000209,San&nbsp;Antonio Spurs v. Utah Jazz,,,scraped_feed_b,False
L000210,Utah Jazz vs San Antonio Spurs,"January 19, 2026",Frost Bank Center,partner_feed_a,False
L000211,Utah Jazz at San Antonio Spurs,January 19,Frost Bank Center,official_feed,False
L000212,SAS vs POR,4/22/2026,AT&T Center,scraped_feed_c,False
L000213,POR a SAS,,Frost Bank Center,scraped_feed_b,False
L000214,Portland Trail Blazers at San Antonuo Spurs,April 22,,scraped_feed_c,False
L000215,San Antonio Spurs vs Portland Trail Blazers,"April 22, 2026",Frost Bank Center,scraped_feed_c,False
L000216,Indiana Pacers vs Toronto Raptors,11/16/2025,Gainbridge Fieldhouse,official_feed,False
L000217,Indiana Pacers vs Toronto Raptors,11/16/2025,Gainbridge Fieldhouse,official_feed,False
L000218,toronto raptors @ indiana pacers,11/16/25,Gainbridge Fieldhouse,scraped_feed_b,False
L000219,nIdiana Pacers vs Toronto Raptors,11/16/25,Gainbridge Fieldhouse,scraped_feed_c,False
L000220,Kansas&nbsp;City Chiefs @ New York Giants,,MetLife Stadium,scraped_feed_c,False
L000221,NYG vs KC,September 22,MetLife Stadium,scraped_feed_c,False
L000222,NYG VS KC,9/22/2025,MetLife Stadium,partner_feed_a,False
L000223,New&nbsp;York Giants v. Kansas City Chiefs,2025-09-22,,scraped_feed_b,False
L000224,Indianapolis Colts vs Kansas City Chiefs,November 23,Arrowhead Stadium,official_feed,False
L000225,  IND  vs C ,"November 23, 2025",Arrowhead Stadium,scraped_feed_b,False
L000226,Indianapolis Coltsv s Kansas City Chiwfs,November 23,Arrowhead Stadium,scraped_feed_b,False
L000227,Indianapolis Colts vs Kansas City Chiefs,11/23/2025,Arrowhead Stadium,official_feed,False
L000228,POR vs SAS,4/9/26,Frost Bank Center,partner_feed_a,False
L000229,Portland Trail Blazers at San Antonio Spurs,2026-04-09,Frost Bank Center,official_feed,False
L000230,Portland Trail Blazers at San Antonio Spurs,"April 9, 2026",AT&T Center,partner_feed_a,False
L000231,SAN ANTONIO SPURS VS PORTLAND TRAIL BLAZERS,April 9,AT&T Center,scraped_feed_b,False
L000232,Dallas Cowboys vs Dteroit Lion,2025-12-05,Ford Field,scraped_feed_b,False
L000233,DALLAS COWBOYS VS DETEOIT LIONS,12/5/2025,,scraped_feed_b,False
L000234,Dallas Cowboys vs Detroit Lions,2025-12-05,Ford Field,partner_feed_a,False
L000235,DETROIT LIONS VS DALLAS COWBOYS,2025-12-05,Ford Field,partner_feed_a,False
L000236,Brooklyn Nets v. Denver Nuggets,"January 28, 2026",,scraped_feed_c,True
L000237,DenverN uggets v. Brpoklyn Nets,"January 31, 2026",PC,scraped_feed_c,True
L000238,Brooklyn Nets at Denver Nuggets,2026-01-30,BA,scraped_feed_b,False
L000239,Brooklyn Nets at Denver Nuggets,January 30,Ball Arena,scraped_feed_b,False
L000240,Minnesota Vikings at Chicago Bears,9/9/2025,Soldier Field,official_feed,False
L000241,CHICAGO BEARS VS MINNESOTA VKIINGS,9/9/2025,SF,scraped_feed_c,False
L000242,  chi  vs min ,September 9,,scraped_feed_c,False
L000243,Chicago Bears vs Minnesota Vikings,9/9/2025,Soldier Field,official_feed,False
L000244,Cleveland Cavaliers at Detroit Pistons,2026-02-28,Little Caesars Arena,official_feed,False
L000245,CLE vs DET,2026-02-28,Little Caesars Arena,partner_feed_a,False
L000246,CLE at DET,"February 28, 2026",Little Caesars Arena Detroit,partner_feed_a,False
L000247,Detroit Pistons vs Cleveland Cavaliers,2026-02-28,Little Caesars Arena Detroit,partner_feed_a,False
L000248,MIL at GSW,,Chase Center Arena,partner_feed_a,False
L000249,Golden State Warriors vs Milwaukee Bucks,2026-01-08,Chase Center,official_feed,False
L000250,Milwaukee Bucks vs Golden State Warriors,January 8,Chase Center,official_feed,False
L000251,Milwaukee Bucks v. Golden State Warriors,January 8,Chase Center,scraped_feed_c,False
L000252,Milwaukee Bucks vs Toronto Raptors,11/5/25,Scotiabank Arena,official_feed,False
L000253,Milwaukee Bucks vs Toronto Raptors,11/5/2025,Scotiabank Arena,official_feed,False
L000254,Milwaukee Bucks vs Toronto Raptors,11/5/25,Scotiabank Arena,official_feed,False
L000255,Milwaukee Bucks at Toronto Raptors,11/5/25,Scotiabank Arena Toronto,partner_feed_a,False
L000256,  pit  @ nyj ,9/7/25,,scraped_feed_c,False
L000257,  PIT  vs NYJ ,9/7/2025,MetLife Stadium,scraped_feed_c,False
L000258,yj vs pi,9/7/2025,,scraped_feed_c,False
L000259,NYJ vs PIT,9/7/25,MetLife Stadium,scraped_feed_b,False
L000260,TOR vs SAS,2/26/2026,Scotiabank Arena,partner_feed_a,False
L000261,San Antonoi Sprus vs Toronto Raptors,February 28,Air Canada Centre,scraped_feed_c,True
L000262,San Antonio Spurs vs Toronto Raptors,"February 26, 2026",Scotiabank Arena,official_feed,False
L000263,SAS at TOR,2026-02-26,Air Canada Centre,partner_feed_a,False
L000264,Dallas Mavericks at San Antonio Spurs,"February 7, 2026",Frost Bank Center,official_feed,False
L000265,aSn ntonio Spurs vs Dallas Mavericks,2/9/26,Frost Bank Center,scraped_feed_c,True
L000266,Dallas Mavericks vs San Antonio Spurs,2/9/26,FBC,scraped_feed_b,True
L000267,SAN ANTONIO SPURS VS DALLAS MAVERICKS,"February 7, 2026",Frost Bank Center,partner_feed_a,False
L000268,Washington Wizards vs New York Knicks,3/22/26,Madison Square Garden,partner_feed_a,False
L000269,WAS at NYK,March 22,Madison Square Garden,scraped_feed_b,False
L000270,New York Knicks vs Washington Wizards,"March 22, 2026",Madison Square Garden,official_feed,False
L000271,NYK VS WAS,,Madison Square Garden,scraped_feed_c,False
L000272,San sntonio Spurs at New Orleans Pelicans,December 9,New Orleans Arena,scraped_feed_c,False
L000273,SAS AT NOP,12/9/25,,partner_feed_a,False
L000274,  new  orleabs pelicans vs san antonio spurs ,12/9/25,Smoothie King Center New Orleans,scraped_feed_c,False
L000275,New Orleans Pelicans v. San Antonio Spurs,12/9/25,New Orleans Arena,scraped_feed_b,False
L000276,Cincinnati Bengals vs Green Bay Packers,10/12/25,Lambeau Field,partner_feed_a,False
L000277,Cincinnati Bengals vs Green Bay Packers,"October 12, 2025",Lambeau Field,partner_feed_a,False
L000278,green bay packers vs cincinnati bengals,,Lambeau Field,scraped_feed_b,False
L000279,Green Bay Packers v. Cincinnati Bengals,10/12/25,,scraped_feed_c,False
L000280,NO at TB,December 7,RJS,scraped_feed_c,False
L000281,TB VS NO,12/7/2025,Raymond James Stadium,scraped_feed_c,False
L000282,New Orleas Saints vs Tampa Bay Buccaneers,2025-12-07,Raymond James Stadium,scraped_feed_c,False
L000283,New Orleans Saints at Tampa Bay Buccaneers,"December 7, 2025",Raymond James Stadium,official_feed,False
L000284,Orlando Magic vs Miami Heat,10/5/25,Coliseo de Puerto Rico,official_feed,False
L000285,  Orlando  Magic @ Miami Heat ,October 5,Coliseo de Puerto Rico,scraped_feed_c,False
L000286,IA v sORL,10/5/2025,Coliseo de Puerto Rico,scraped_feed_b,False
L000287,  orlando  magic at miami heat ,10/6/25,Coliseo de Puerto Rico,scraped_feed_b,True
L000288,Los Angeles Lakers vs Phoenix Suns,February 27,Mortgage Matchup Center,partner_feed_a,False
L000289,Los Angeles Lakers at Phoenix Suns,"February 27, 2026",Mortgage Matchup Center,official_feed,False
L000290,Phoenix Suns vs Los Angeles Lakers,2026-02-27,Mortgage Matchup Center,official_feed,False
L000291,  LAL  vs PHX ,2/27/26,Mortgage Matchup Center,scraped_feed_b,False
L000292,  PHI  vs HOU ,2026-01-23,,scraped_feed_b,False
L000293,Houston Rockets at Philadelphia 76ers,2026-01-23,Xfinity Mobile Arena,official_feed,False
L000294,Philadelphia 76ers vs Houston Rockets,1/23/26,Xfinity Mobile Arena,official_feed,False
L000295,Philadelphia 76ers vs Houston Rockets,January 23,Xfinity Mobile Arena,official_feed,False
L000296,BALTIMORE RAVENS VS LOS ANGELES RAMS,10/12/25,M&T Bank Stadium,partner_feed_a,False
L000297,los angeles rams vs baltimore ravens,2025-10-12,M&T Bank Stadium,partner_feed_a,False
L000298,LAR vs BAL,10/12/2025,M&T Bank Stadium,partner_feed_a,False
L000299,los angeles rams at baltimore ravens,"October 12, 2025",M&T Bank Stadium,partner_feed_a,False
L000300,ATL vs LAL,2025-11-09,PA,scraped_feed_b,False
L000301,Atlanta Hawkd vs Los Anfeles Lakers,"November 9, 2025",State Farm Arena,scraped_feed_c,False
L000302,ATL VS LAL,"November 9, 2025",Philips Arena,partner_feed_a,False
L000303,  LOS  ANGELES LAKERD VS ATLANTA HWAKS ,11/9/2025,State Farm Arena Atlanta,scraped_feed_b,False
L000304,WAS vs HOU,"March 3, 2026",Capital One Arena,scraped_feed_b,False
L000305,Washington Wizards vs Houston Rockets,"March 3, 2026",Capital One Arena,official_feed,False
L000306,Houston Rockets at Washington Wizards,"March 3, 2026",Capital One Arena,official_feed,False
L000307,HO at eAS,"March 3, 2026",Capital One Arena,scraped_feed_c,False
L000308,UTA at DET,11/6/25,LCAD,scraped_feed_c,False
L000309,TUA ATDET,2025-11-06,LCA,scraped_feed_b,False
L000310,UTA AT DET,2025-11-06,LCA,scraped_feed_c,False
L000311,DETROI PISTONS VS UTSH JAZZ,11/6/2025,Little Caesars Arena,scraped_feed_b,False
L000312,CLE at SAS,"December 30, 2025",Frost Bank Center,scraped_feed_c,False
L000313,San Antonio Spurs vs Cleveland Cavaliers,12/30/2025,Frost Bank Center,partner_feed_a,False
